Algoritmo,DataSet,Tipo,Tamanho,TempoMs
Bubble Sort,aleatorio_100.csv,ALEATORIO,100,0
Insertion Sort,aleatorio_100.csv,ALEATORIO,100,0
Quick Sort,aleatorio_100.csv,ALEATORIO,100,0
Bubble Sort,aleatorio_1000.csv,ALEATORIO,1000,16
Insertion Sort,aleatorio_1000.csv,ALEATORIO,1000,6
Quick Sort,aleatorio_1000.csv,ALEATORIO,1000,0
Bubble Sort,aleatorio_10000.csv,ALEATORIO,10000,221
Insertion Sort,aleatorio_10000.csv,ALEATORIO,10000,47
Quick Sort,aleatorio_10000.csv,ALEATORIO,10000,3
Bubble Sort,crescente_100.csv,CRESCENTE,100,0
Insertion Sort,crescente_100.csv,CRESCENTE,100,0
Quick Sort,crescente_100.csv,CRESCENTE,100,0
Bubble Sort,crescente_1000.csv,CRESCENTE,1000,0
Insertion Sort,crescente_1000.csv,CRESCENTE,1000,0
Quick Sort,crescente_1000.csv,CRESCENTE,1000,0
Bubble Sort,crescente_10000.csv,CRESCENTE,10000,0
Insertion Sort,crescente_10000.csv,CRESCENTE,10000,1
Quick Sort,crescente_10000.csv,CRESCENTE,10000,1
Bubble Sort,decrescente_100.csv,CRESCENTE,100,0
Insertion Sort,decrescente_100.csv,CRESCENTE,100,0
Quick Sort,decrescente_100.csv,CRESCENTE,100,0
Bubble Sort,decrescente_1000.csv,CRESCENTE,1000,2
Insertion Sort,decrescente_1000.csv,CRESCENTE,1000,0
Quick Sort,decrescente_1000.csv,CRESCENTE,1000,0
Bubble Sort,decrescente_10000.csv,CRESCENTE,10000,248
Insertion Sort,decrescente_10000.csv,CRESCENTE,10000,50
Quick Sort,decrescente_10000.csv,CRESCENTE,10000,0
